title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Grey Full Rim Square,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e13467,JJ E13467,135 mm,55-18-140,Grey,/john-jacobs-jj-e13467-c1-eyeglasses.html
Gunmetal Tortoise Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Extra Wide,,s15752,VC S15752,146 mm,54-20-144,Gunmetal Tortoise,/vincent-chase-vc-s15752-c2-sunglasses.html
Black Full Rim Geometric,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e15323,LA E15323,134 mm,51-18-145,Black,/lenskart-air-la-e15323-c2-eyeglasses.html
Black Full Rim Square,5000,4000,SINGLE,John Jacobs,Wide,,rim,JJ S12504,138 mm,53-19-143,Black,/john-jacobs-full-rim-aviator-jj-s12504-c3-sunglasses.html
Gunmetal Rimless Rectangle,5000,4000,SINGLE,John Jacobs,Medium,Frame + Lens,e14685,JJ E14685,134 mm,52-16-145,Gunmetal,/john-jacobs-jj-e14685-c5-eyeglasses.html
Grey Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16169,LA E16169,136 mm,52-17-145,Grey,/lenskart-air-la-e16169-c3-eyeglasses.html
Gold Full Rim Cat Eye,1700,1200,₹1700,Lenskart Air,Medium,Frame + Lens,e16574,LA E16574,134 mm,51-18-145,Gold,/lenskart-air-la-e16574-c2-eyeglasses.html
Black Half Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e16651,VC E16651,132 mm,52-17-145,Black,/vincent-chase-vc-e16651-c1-eyeglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16642,LA E16642,131 mm,52-16-145,Blue,/lenskart-air-la-e16642-c3-eyeglasses.html
Tortoise Full Rim Wayfarer,3500,2500,SINGLE,John Jacobs,Extra Wide,,s14988,JJ S14988,147 mm,53-22-145,,/john-jacobs-jj-s14988-c2-sunglasses.html
Black Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16032,LA E16032,136 mm,50-18-145,Black,/lenskart-air-la-e16032-c3-eyeglasses.html
Gold Full Rim Hexagonal,5000,4000,SINGLE,John Jacobs,Wide,,jacobs,JJ S13994,140 mm,57-17-140,Gold,/john-jacobs-john-jacobs-jj-s13994-full-rim-c3-sunglasses.html
Gunmetal Transparent Half Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14868,LA E14868,135 mm,53-18-140,Gunmetal Transparent,/lenskart-air-la-e14868-c1-eyeglasses.html
Gold Brown Green Full Rim Round,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e15325,LA E15325,137 mm,54-15-145,,/lenskart-air-la-e15325-c2-eyeglasses.html
Black Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e11415,LA E11415,139 mm,53-18-140,Black,/lenskart-air-la-e11415-c6-eyeglasses.html
Maroon Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16432,LA E16432,130 mm,50-16-145,Maroon,/lenskart-air-la-e16432-c2-eyeglasses.html
Gold Brown Full Rim Rectangle,1700,1200,₹1700,Lenskart Air,Wide,Frame + Lens,e16571,LA E16571,141 mm,54-18-145,,/lenskart-air-la-e16571-c1-eyeglasses.html
